ts_utc,ts_nyt_epoch,open,high,low,close,volume
2025-09-02T12:25:00-04:00,1756830300,635.76,635.855,635.56,635.59,108733.0
2025-09-02T12:26:00-04:00,1756830360,635.57,635.8401,635.56,635.8046,95596.0
2025-09-02T12:27:00-04:00,1756830420,635.8,635.889,635.74,635.81,80653.0
2025-09-02T12:28:00-04:00,1756830480,635.83,635.91,635.61,635.615,58289.0
2025-09-02T12:29:00-04:00,1756830540,635.6,635.645,635.56,635.61,68112.0
2025-09-02T12:30:00-04:00,1756830600,635.61,635.87,635.61,635.87,103258.0
2025-09-02T12:31:00-04:00,1756830660,635.855,635.87,635.65,635.7707,70750.0
2025-09-02T12:32:00-04:00,1756830720,635.78,635.78,635.63,635.6598,44679.0
2025-09-02T12:33:00-04:00,1756830780,635.655,635.83,635.65,635.721,64358.0
2025-09-02T12:34:00-04:00,1756830840,635.71,635.79,635.66,635.715,57032.0
2025-09-02T12:35:00-04:00,1756830900,635.71,635.855,635.61,635.83,61505.0
2025-09-02T12:36:00-04:00,1756830960,635.82,635.94,635.78,635.925,32642.0
2025-09-02T12:37:00-04:00,1756831020,635.93,636.13,635.915,635.97,105145.0
2025-09-02T12:38:00-04:00,1756831080,635.965,635.985,635.72,635.77,81341.0
2025-09-02T12:39:00-04:00,1756831140,635.7671,635.84,635.7235,635.835,70737.0
2025-09-02T12:40:00-04:00,1756831200,635.84,636.13,635.84,636.09,134079.0
2025-09-02T12:41:00-04:00,1756831260,636.08,636.19,636.01,636.17,105645.0
2025-09-02T12:42:00-04:00,1756831320,636.17,636.305,636.14,636.29,112046.0
2025-09-02T12:43:00-04:00,1756831380,636.27,636.505,636.18,636.205,202487.0
2025-09-02T12:44:00-04:00,1756831440,636.2,636.24,636.0602,636.14,124290.0
2025-09-02T12:45:00-04:00,1756831500,636.13,636.245,636.06,636.0999,59951.0
2025-09-02T12:46:00-04:00,1756831560,636.1,636.22,636.07,636.17,91366.0
2025-09-02T12:47:00-04:00,1756831620,636.16,636.265,636.01,636.015,85199.0
2025-09-02T12:48:00-04:00,1756831680,636.02,636.04,635.68,635.7,126984.0
2025-09-02T12:49:00-04:00,1756831740,635.695,635.94,635.695,635.92,109515.0
2025-09-02T12:50:00-04:00,1756831800,635.915,636.215,635.87,636.215,131728.0
2025-09-02T12:51:00-04:00,1756831860,636.21,636.48,636.15,636.415,127999.0
2025-09-02T12:52:00-04:00,1756831920,636.415,636.47,636.39,636.41,69140.0
2025-09-02T12:53:00-04:00,1756831980,636.41,636.4784,636.26,636.39,112284.0
2025-09-02T12:54:00-04:00,1756832040,636.39,636.4,636.315,636.37,53736.0
2025-09-02T12:55:00-04:00,1756832100,636.39,636.76,636.37,636.76,109188.0
2025-09-02T12:56:00-04:00,1756832160,636.75,636.97,636.74,636.85,180467.0
2025-09-02T12:57:00-04:00,1756832220,636.84,636.915,636.725,636.81,107288.0
2025-09-02T12:58:00-04:00,1756832280,636.82,636.875,636.75,636.87,111396.0
2025-09-02T12:59:00-04:00,1756832340,636.89,636.95,636.785,636.95,233846.0
2025-09-02T13:00:00-04:00,1756832400,636.95,637.03,636.89,637.0,138350.0
2025-09-02T13:01:00-04:00,1756832460,637.02,637.11,636.975,637.02,133862.0
2025-09-02T13:02:00-04:00,1756832520,637.04,637.13,637.0,637.0401,161006.0
2025-09-02T13:03:00-04:00,1756832580,637.04,637.1,636.93,636.96,122202.0
2025-09-02T13:04:00-04:00,1756832640,636.965,637.07,636.965,637.04,58694.0
2025-09-02T13:05:00-04:00,1756832700,637.04,637.15,636.9,637.1201,154185.0
2025-09-02T13:06:00-04:00,1756832760,637.11,637.17,637.01,637.139,84236.0
2025-09-02T13:07:00-04:00,1756832820,637.14,637.24,637.135,637.2213,86206.0
2025-09-02T13:08:00-04:00,1756832880,637.23,637.28,637.14,637.155,95023.0
2025-09-02T13:09:00-04:00,1756832940,637.16,637.17,636.97,637.01,120340.0
2025-09-02T13:10:00-04:00,1756833000,637.02,637.06,636.93,636.9501,104486.0
2025-09-02T13:11:00-04:00,1756833060,636.965,637.01,636.7,636.74,93493.0
2025-09-02T13:12:00-04:00,1756833120,636.74,636.7899,636.53,636.6315,109872.0
